X,Y,world_nums,steps,frame_img
-2.362515926361084,-0.043869853019714355,0,0,frames/ball_0_0.png
-2.427328109741211,0.09937477111816406,0,1,frames/ball_0_1.png
-2.693955898284912,0.6002931594848633,0,2,frames/ball_0_2.png
-3.02023983001709,1.0198304653167725,0,3,frames/ball_0_3.png
-0.03763800114393234,-0.8519664406776428,1,0,frames/ball_1_0.png
-0.06747899949550629,-0.7381789684295654,1,1,frames/ball_1_1.png
-0.26494500041007996,-0.06501263380050659,1,2,frames/ball_1_2.png
-0.4848420023918152,0.5214626789093018,1,3,frames/ball_1_3.png
-0.6757949590682983,0.8912707567214966,1,4,frames/ball_1_4.png
-0.8696460127830505,1.1340789794921875,1,5,frames/ball_1_5.png
-1.068248987197876,1.2442741394042969,1,6,frames/ball_1_6.png
-1.2693569660186768,1.2129528522491455,1,7,frames/ball_1_7.png
-1.4704740047454834,1.037818193435669,1,8,frames/ball_1_8.png
-1.6697670221328735,0.7224068641662598,1,9,frames/ball_1_9.png
-1.8696420192718506,0.2642369270324707,1,10,frames/ball_1_10.png
-2.0696730613708496,-0.3365006446838379,1,11,frames/ball_1_11.png
-2.2690680027008057,-1.076918601989746,1,12,frames/ball_1_12.png
0.011886999942362309,-0.8596168160438538,2,0,frames/ball_2_0.png
0.024952000007033348,-0.7105376720428467,2,1,frames/ball_2_1.png
0.08976499736309052,-0.051744163036346436,2,2,frames/ball_2_2.png
0.157383993268013,0.4922924041748047,2,3,frames/ball_2_3.png
0.22405800223350525,0.885464072227478,2,4,frames/ball_2_4.png
0.2901259958744049,1.1347427368164062,2,5,frames/ball_2_5.png
0.3583320081233978,1.2455546855926514,2,6,frames/ball_2_6.png
0.4230499863624573,1.213059425354004,2,7,frames/ball_2_7.png
0.4900690019130707,1.0381457805633545,2,8,frames/ball_2_8.png
0.5575029850006104,0.7170825004577637,2,9,frames/ball_2_9.png
0.6237959861755371,0.25960874557495117,2,10,frames/ball_2_10.png
0.6902329921722412,-0.3399496078491211,2,11,frames/ball_2_11.png
0.7566890120506287,-1.080984115600586,2,12,frames/ball_2_12.png
0.9876570105552673,-0.8666645884513855,3,0,frames/ball_3_0.png
0.9691810011863708,-0.6761879920959473,3,1,frames/ball_3_1.png
0.9017050266265869,-0.07334542274475098,3,2,frames/ball_3_2.png
0.8350769877433777,0.37895941734313965,3,3,frames/ball_3_3.png
0.7688300013542175,0.6878368854522705,3,4,frames/ball_3_4.png
0.7005330324172974,0.8592492341995239,3,5,frames/ball_3_5.png
0.635001003742218,0.8834006786346436,3,6,frames/ball_3_6.png
0.5677629709243774,0.7653460502624512,3,7,frames/ball_3_7.png
0.5008950233459473,0.5044622421264648,3,8,frames/ball_3_8.png
0.43494999408721924,0.10704565048217773,3,9,frames/ball_3_9.png
0.36741000413894653,-0.4442319869995117,3,10,frames/ball_3_10.png
0.301921010017395,-1.1181597709655762,3,11,frames/ball_3_11.png
-1.048084020614624,-0.8821020722389221,4,0,frames/ball_4_0.png
-1.0718679428100586,-0.8254950046539307,4,1,frames/ball_4_1.png
-1.3384320735931396,-0.2684561610221863,4,2,frames/ball_4_2.png
-1.6038639545440674,0.14500832557678223,4,3,frames/ball_4_3.png
-1.8672280311584473,0.41598546504974365,4,4,frames/ball_4_4.png
-2.1346240043640137,0.5491883754730225,4,5,frames/ball_4_5.png
-2.4093680381774902,0.5371018648147583,4,6,frames/ball_4_6.png
-2.6668319702148438,0.3887510299682617,4,7,frames/ball_4_7.png
-2.937955856323242,0.08921670913696289,4,8,frames/ball_4_8.png
-3.2015678882598877,-0.34298133850097656,4,9,frames/ball_4_9.png
-0.05011599883437157,-0.8521636128425598,5,0,frames/ball_5_0.png
-0.07370799779891968,-0.784308910369873,5,1,frames/ball_5_1.png
-0.3388960063457489,-0.09816253185272217,5,2,frames/ball_5_2.png
-0.6063680052757263,0.45142173767089844,5,3,frames/ball_5_3.png
-0.8036839962005615,0.7651441097259521,5,4,frames/ball_5_4.png
-1.0704360008239746,1.0654747486114502,5,5,frames/ball_5_5.png
-1.2711479663848877,1.1976265907287598,5,6,frames/ball_5_6.png
-1.467911958694458,1.2489705085754395,5,7,frames/ball_5_7.png
-1.7421239614486694,1.191375970840454,5,8,frames/ball_5_8.png
-2.0023839473724365,0.9976100921630859,5,9,frames/ball_5_9.png
-2.2729721069335938,0.6525139808654785,5,10,frames/ball_5_10.png
-2.4745399951934814,0.30027198791503906,5,11,frames/ball_5_11.png
-2.7385599613189697,-0.2840304374694824,5,12,frames/ball_5_12.png
-2.9421041011810303,-0.8296642303466797,5,13,frames/ball_5_13.png
-3.2067039012908936,-1.6628379821777344,5,14,frames/ball_5_14.png
0.0,-0.8438318967819214,6,0,frames/ball_6_0.png
0.0,-0.676272988319397,6,1,frames/ball_6_1.png
0.0,0.06555986404418945,6,2,frames/ball_6_2.png
0.0,0.667837381362915,6,3,frames/ball_6_3.png
0.0,1.1235547065734863,6,4,frames/ball_6_4.png
0.0,1.436161994934082,6,5,frames/ball_6_5.png
0.0,1.6068248748779297,6,6,frames/ball_6_6.png
0.0,1.6405556201934814,6,7,frames/ball_6_7.png
0.0,1.5617246627807617,6,8,frames/ball_6_8.png
0.0,1.4147868156433105,6,9,frames/ball_6_9.png
0.0,1.0733447074890137,6,10,frames/ball_6_10.png
0.0,0.6126322746276855,6,11,frames/ball_6_11.png
0.0,0.00304412841796875,6,12,frames/ball_6_12.png
0.0,-0.5394506454467773,6,13,frames/ball_6_13.png
0.0,-1.503188133239746,6,14,frames/ball_6_14.png
